Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants,First_ent_time,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,10,3,3,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,20,1,,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,30,0,,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,40,5,,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,50,1,,
Dark,1,RubberForest,4,879,termite,cube,termite_cube,60,3,,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,10,2,7,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,20,1,,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,30,1,,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,40,1,,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,50,3,,
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,60,2,,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,10,4,2,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,20,5,,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,30,7,,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,40,9,,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,50,7,,
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,60,10,,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,10,2,1,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,20,4,,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,30,4,,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,40,10,,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,50,9,,
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,60,14,,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,10,1,1,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,20,0,,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,30,2,,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,40,0,,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,50,1,,
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,60,0,,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,10,0,11,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,20,0,,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,30,1,,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,40,2,,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,50,1,,
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,60,1,,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,10,2,2,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,20,1,,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,30,4,,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,40,6,,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,50,8,,
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,60,10,,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,10,1,4,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,20,3,,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,30,3,,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,40,2,,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,50,5,,
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,60,8,,
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,10,1,12,not sure
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,20,4,,
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,30,2,,
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,40,4,,
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,50,4,,
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,60,8,,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,10,0,11,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,20,2,,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,30,3,,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,40,4,,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,50,8,,
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,60,7,,
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,10,0,10,not sure
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,20,0,,
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,30,4,,
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,40,6,,
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,50,13,,
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,60,8,,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,10,0,12,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,20,1,,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,30,2,,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,40,2,,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,50,2,,
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,60,1,,
